1129,18349
1597,18053
941,17898
936,17160
1887,17134
1302,17036
1140,16199
729,15826
1103,15448
1317,15371
1329,14818
322,14782
999,14662
1460,14633
445,14593
733,14533
590,14476
799,14400
1076,14390
1821,14388
1482,14366
1068,14255
506,14208
1992,14165
1237,14112
173,14061
255,14028
1357,14010
637,13900
1517,13750
353,13721
1611,13692
1530,13635
1558,13587
832,13562
213,13556
1672,13428
725,13049
720,13004
239,12986
607,12941
906,12920
174,12894
1547,12871
117,12857
1991,12813
1625,12809
438,12777
1033,12745
89,12741
973,12724
853,12711
1722,12697
1591,12688
280,12588
80,12565
1503,12554
844,12524
1093,12492
195,12479
142,12475
565,12454
1866,12451
1683,12413
1858,12412
1438,12393
1762,12376
347,12360
515,12265
1696,12255
1272,12200
669,12188
1773,12135
793,12116
1950,12108
34,12099
1579,12087
963,12068
473,12034
1932,12027
8,12025
1028,12001
594,11996
753,11935
1290,11891
1475,11875
621,11872
482,11870
1119,11867
921,11852
177,11826
1559,11796
230,11756
1494,11748
320,11721
1493,11654
198,11649
1331,11641
1285,11639
1243,11625
363,11621
1502,11572
1428,11560
1957,11537
1619,11466
217,11465
204,11444
1084,11437
1396,11435
151,11423
298,11394
344,11387
273,11372
787,11293
37,11292
1233,11281
1783,11248
1946,11237
39,11237
1374,11214
1933,11181
640,11141
1049,11130
200,11117
1473,11099
420,11081
1106,11078
234,11070
1506,11058
1205,11056
1867,11056
1725,11020
1748,11012
1113,10999
953,10996
1043,10994
1030,10952
887,10939
841,10936
425,10925
728,10919
1982,10897
704,10882
946,10867
1890,10863
29,10856
1808,10837
1443,10803
719,10797
1131,10788
385,10758
1232,10746
377,10730
647,10704
919,10701
925,10701
1988,10688
446,10683
109,10662
1567,10644
139,10639
1812,10631
611,10622
1561,10602
1885,10587
1788,10584
1389,10567
1132,10548
1346,10531
1984,10526
577,10515
426,10507
1797,10503
1726,10471
579,10450
1802,10436
1616,10414
695,10408
343,10378
525,10373
461,10367
714,10340
773,10335
1328,10301
299,10296
1168,10263
380,10262
652,10241
433,10237
1178,10226
